location;total_populations;total_death_counts;cdr;diabetes
Aruba;106459;292;NULL;11,62
Togo;8848700;290;280033;6,15
Nicaragua;6948395;245;137016;11,47
Grenada;125459;238;243964;10,71
Chad;17723312;194;280995;6,1
Djibouti;1120851;189;258037;6,05
Mayotte;326113;187;NULL;NULL
Iceland;372903;186;117992;5,31
Equatorial Guinea;1674916;183;202812;7,78
Guinea-Bissau;2105580;177;382474;2,42
Seychelles;107135;172;242648;10,55
Bermuda;64207;165;139547;13
Benin;13352864;163;235848;0,99
Brunei;449002;163;201285;12,79
Comoros;836783;161;261516;11,88
Jersey;110796;161;NULL;NULL
Andorra;79843;159;109135;7,97
Solomon Islands;724272;153;NULL;18,68
Antigua and Barbuda;93772;146;191511;13,17
Timor;1341298;138;335346;6,86
South Sudan;10913172;138;280775;10,43
United States Virgin Islands;99479;132;NULL;12,26
San Marino;33690;126;NULL;5,64
Sierra Leone;8605723;126;325721;2,42
Tajikistan;9952789;125;427698;7,11
Saint Vincent and the Grenadines;103959;124;252675;11,62
Isle of Man;84534;116;NULL;NULL
Central African Republic;5579148;113;435727;6,1
Gibraltar;32677;113;NULL;NULL
Eritrea;3684041;103;NULL;6,05
Sint Maarten (Dutch part);44192;92;NULL;NULL
Liechtenstein;39355;87;NULL;7,77
Sao Tome and Principe;227393;80;270113;2,42
Dominica;72758;74;227376;11,62
Monaco;36491;67;NULL;5,46
Guernsey;63329;67;NULL;NULL
Micronesia (country);114178;65;454343;12,02
British Virgin Islands;31332;64;NULL;13,67
Saint Kitts and Nevis;47681;46;NULL;12,84
Saint Martin (French part);31816;46;NULL;NULL
Northern Mariana Islands;49574;41;194994;NULL
Bonaire Sint Eustatius and Saba;27052;41;NULL;NULL
Turks and Caicos Islands;45726;39;NULL;NULL
Cayman Islands;68722;37;NULL;13,22
American Samoa;44295;34;NULL;NULL
Samoa;222390;31;348977;9,21
Faeroe Islands;53117;28;NULL;NULL
Kiribati;131237;24;434657;22,66
Bhutan;782457;21;217066;9,75
Greenland;56494;21;199941;2,16
Marshall Islands;41593;17;557793;30,53
Burundi;12889583;15;293068;6,05
Vanuatu;326744;14;NULL;12,02
Anguilla;15877;12;NULL;NULL
Tonga;106867;12;NULL;15,42
Palau;18084;9;NULL;15,89
Wallis and Futuna;11596;8;NULL;NULL
Montserrat;4413;8;NULL;NULL
Saint Barthelemy;10994;5;NULL;NULL
Cook Islands;17032;2;NULL;NULL
Saint Pierre and Miquelon;5885;2;NULL;NULL
Nauru;12691;1;NULL;24,07
Tuvalu;11335;1;NULL;27,25
Macao;695180;NULL;NULL;NULL
Scotland;5466000;NULL;NULL;NULL
Turkmenistan;6430777;NULL;536783;7,11
Northern Ireland;1896000;NULL;NULL;NULL
Vatican;808;NULL;NULL;NULL
Falkland Islands;3801;NULL;NULL;NULL
Tokelau;1893;NULL;NULL;NULL
Taiwan;23893396;NULL;103957;NULL
Wales;3170000;NULL;NULL;NULL
North Korea;26069416;NULL;321681;4
Saint Helena;5401;NULL;NULL;NULL
Pitcairn;47;NULL;NULL;NULL
Northern Cyprus;382836;NULL;NULL;NULL
Niue;1952;NULL;NULL;NULL
Hong Kong;7488863;NULL;NULL;8,33
Western Sahara;576005;NULL;NULL;NULL
England;56550000;NULL;NULL;NULL
