location;total_populations;total_infected;infection_rate
Equatorial Guinea;1674916;17130;1,023
Rwanda;13776702;133194;0,967
Cambodia;16767851;138941;0,829
Mozambique;32969520;233651;0,709
Pakistan;235824864;1580631;0,67
Kenya;54027484;343955;0,637
Algeria;44903228;271852;0,605
Afghanistan;41128772;225983;0,549
Senegal;17316452;89022;0,514
Ghana;33475870;171653;0,513
Uzbekistan;34627648;172571;0,498
Gambia;2705995;12626;0,467
Egypt;110990096;516023;0,465
Papua New Guinea;10142625;46864;0,462
Guinea-Bissau;2105580;9614;0,457
Cameroon;27914542;125090;0,448
Togo;8848700;39514;0,447
Malawi;20405318;88908;0,436
Congo;5970430;25196;0,422
Burundi;12889583;54321;0,421
Ethiopia;123379928;501060;0,406
Uganda;47249588;171843;0,364
Cote d'Ivoire;28160548;88338;0,314
Angola;35588996;105960;0,298
Haiti;11585003;34323;0,296
Guinea;13859349;38563;0,278
Eritrea;3684041;10189;0,277
Central African Republic;5579148;15367;0,275
Syria;22125242;57423;0,26
Nicaragua;6948395;16038;0,231
Madagascar;29611718;68330;0,231
Benin;13352864;28036;0,21
Tajikistan;9952789;17786;0,179
South Sudan;10913172;18368;0,168
Somalia;17597508;27334;0,155
Liberia;5302690;8090;0,153
Mali;22593598;33152;0,147
Sudan;46874200;63993;0,137
Nigeria;218541216;286572;0,131
Democratic Republic of Congo;99010216;98830;0,1
Burkina Faso;22673764;22056;0,097
Sierra Leone;8605723;7766;0,09
Tanzania;65497752;43078;0,066
Chad;17723312;7698;0,043
Niger;26207982;9515;0,036
Yemen;33696612;11945;0,035
England;56550000;NULL;NULL
Macao;695180;NULL;NULL
Northern Ireland;1896000;NULL;NULL
North Korea;26069416;NULL;NULL
Northern Cyprus;382836;NULL;NULL
Wales;3170000;NULL;NULL
Hong Kong;7488863;NULL;NULL
Turkmenistan;6430777;NULL;NULL
Western Sahara;576005;NULL;NULL
Taiwan;23893396;NULL;NULL
Scotland;5466000;NULL;NULL
