location;total_populations;total_death_counts;death_rate
Mozambique;32969520;2249;0,007
Haiti;11585003;860;0,007
Cameroon;27914542;1974;0,007
Papua New Guinea;10142625;670;0,007
Congo;5970430;389;0,007
Liberia;5302690;294;0,006
Yemen;33696612;2159;0,006
Ethiopia;123379928;7574;0,006
Madagascar;29611718;1425;0,005
Angola;35588996;1936;0,005
Ghana;33475870;1462;0,004
Nicaragua;6948395;245;0,004
Vanuatu;326744;14;0,004
Guinea;13859349;468;0,003
Eritrea;3684041;103;0,003
Mali;22593598;743;0,003
Togo;8848700;290;0,003
Uzbekistan;34627648;1016;0,003
Bhutan;782457;21;0,003
Cote d'Ivoire;28160548;835;0,003
Central African Republic;5579148;113;0,002
Burkina Faso;22673764;396;0,002
Benin;13352864;163;0,001
Tanzania;65497752;846;0,001
Niger;26207982;315;0,001
South Sudan;10913172;138;0,001
Tajikistan;9952789;125;0,001
Nigeria;218541216;3155;0,001
Chad;17723312;194;0,001
Sierra Leone;8605723;126;0,001
Democratic Republic of Congo;99010216;1468;0,001
Burundi;12889583;15;0
Northern Ireland;1896000;NULL;NULL
Vatican;808;NULL;NULL
Western Sahara;576005;NULL;NULL
Taiwan;23893396;NULL;NULL
Niue;1952;NULL;NULL
Macao;695180;NULL;NULL
Hong Kong;7488863;NULL;NULL
North Korea;26069416;NULL;NULL
Wales;3170000;NULL;NULL
Scotland;5466000;NULL;NULL
Northern Cyprus;382836;NULL;NULL
Tokelau;1893;NULL;NULL
Turkmenistan;6430777;NULL;NULL
England;56550000;NULL;NULL
Falkland Islands;3801;NULL;NULL
Pitcairn;47;NULL;NULL
Saint Helena;5401;NULL;NULL
