location;total_populations;fully_vaccinated;fully_vaccination_rate
Zimbabwe;16320539;4751270;29,112
Sudan;46874200;13416394;28,622
Uganda;47249588;13061126;27,643
Jamaica;2827382;760058;26,882
Angola;35588996;9472763;26,617
Bosnia and Herzegovina;3233530;846080;26,166
Guinea-Bissau;2105580;533741;25,349
Burkina Faso;22673764;5232347;23,077
Namibia;2567024;550656;21,451
Kyrgyzstan;6630621;1406016;21,205
Niger;26207982;5483001;20,921
Malawi;20405318;4223762;20,699
Benin;13352864;2742837;20,541
Kenya;54027484;11090440;20,527
Gambia;2705995;539186;19,926
Libya;6812344;1236102;18,145
Iraq;44496124;7944775;17,855
Togo;8848700;1554066;17,563
Mali;22593598;3633589;16,082
Democratic Republic of Congo;99010216;14399520;14,543
Algeria;44903228;6481186;14,434
Equatorial Guinea;1674916;214032;12,779
Cameroon;27914542;3173644;11,369
Congo;5970430;654119;10,956
Gabon;2388997;257471;10,777
Syria;22125242;2358365;10,659
Madagascar;29611718;2628849;8,878
Senegal;17316452;1503332;8,682
Papua New Guinea;10142625;321192;3,167
Haiti;11585003;350403;3,025
Yemen;33696612;798451;2,37
Burundi;12889583;36321;0,282
French Guiana;304568;NULL;NULL
Eritrea;3684041;NULL;NULL
Saint Martin (French part);31816;NULL;NULL
Liechtenstein;39355;NULL;NULL
Martinique;367512;NULL;NULL
Puerto Rico;3252412;NULL;NULL
Switzerland;8740471;NULL;NULL
Guam;171783;NULL;NULL
Western Sahara;576005;NULL;NULL
Saint Pierre and Miquelon;5885;NULL;NULL
Mayotte;326113;NULL;NULL
Reunion;974062;NULL;NULL
American Samoa;44295;NULL;NULL
Saint Barthelemy;10994;NULL;NULL
Northern Mariana Islands;49574;NULL;NULL
United States Virgin Islands;99479;NULL;NULL
Vatican;808;NULL;NULL
Micronesia (country);114178;NULL;NULL
North Korea;26069416;NULL;NULL
Guadeloupe;395762;NULL;NULL
Marshall Islands;41593;NULL;NULL
Palau;18084;NULL;NULL
