location;total_populations;total_infected;total_death_counts;infection_rate;death_rate;fatality_rate
Spain;47558632;13980340;121852;29,396;0,256;0,872
Ghana;33475870;171653;1462;0,513;0,004;0,852
Botswana;2630300;330272;2800;12,556;0,106;0,848
Sint Maarten (Dutch part);44192;11051;92;25,007;0,208;0,833
Panama;4408582;1047321;8652;23,756;0,196;0,826
French Polynesia;306292;78632;649;25,672;0,212;0,825
Palestine;5250076;703228;5708;13,395;0,109;0,812
Jordan;11285875;1746997;14122;15,479;0,125;0,808
Guam;171783;52006;416;30,274;0,242;0,8
Cuba;11212198;1115103;8530;9,945;0,076;0,765
Costa Rica;5180836;1238884;9428;23,913;0,182;0,761
Latvia;1850654;975910;7378;52,733;0,399;0,756
South Sudan;10913172;18368;138;0,168;0,001;0,751
Italy;59037472;26007789;191469;44,053;0,324;0,736
Central African Republic;5579148;15367;113;0,275;0,002;0,735
Uruguay;3422796;1039227;7634;30,362;0,223;0,735
Togo;8848700;39514;290;0,447;0,003;0,734
Lithuania;2750058;1324683;9704;48,169;0,353;0,733
Malta;533293;120044;877;22,51;0,164;0,731
Malaysia;33938216;5127712;37190;15,109;0,11;0,725
Thailand;71697024;4757283;34473;6,635;0,048;0,725
Belarus;9534956;994037;7118;10,425;0,075;0,716
Belgium;11655923;4812396;34339;41,287;0,295;0,714
Solomon Islands;724272;21611;153;2,984;0,021;0,708
Serbia;6871547;2549375;18057;37,1;0,263;0,708
Tajikistan;9952789;17786;125;0,179;0,001;0,703
Slovenia;2119843;1344826;9435;63,44;0,445;0,702
Greece;10384972;5370810;37413;51,717;0,36;0,697
Saint Kitts and Nevis;47681;6607;46;13,857;0,096;0,696
Finland;5540745;1485088;10201;26,803;0,184;0,687
Curacao;191173;45883;305;24,001;0,16;0,665
Aruba;106459;44224;292;41,541;0,274;0,66
Dominican Republic;11228821;667054;4384;5,941;0,039;0,657
Cape Verde;593162;64401;415;10,857;0,07;0,644
Gabon;2388997;48992;307;2,051;0,013;0,627
Turkey;85341248;17004677;101419;19,926;0,119;0,596
Uzbekistan;34627648;172571;1016;0,498;0,003;0,589
Timor;1341298;23460;138;1,749;0,01;0,588
Turks and Caicos Islands;45726;6630;39;14,499;0,085;0,588
Benin;13352864;28036;163;0,21;0,001;0,581
Montserrat;4413;1403;8;31,792;0,181;0,57
Barbados;281646;110023;620;39,064;0,22;0,564
Gibraltar;32677;20550;113;62,888;0,346;0,55
Ireland;5023108;1719863;9209;34,239;0,183;0,535
United States Virgin Islands;99479;25389;132;25,522;0,133;0,52
San Marino;33690;24518;126;72,775;0,374;0,514
Guadeloupe;395762;203235;1021;51,353;0,258;0,502
Portugal;10270857;5610180;27247;54,622;0,265;0,486
Estonia;1326064;601851;2901;45,386;0,219;0,482
Martinique;367512;230354;1104;62,679;0,3;0,479
Puerto Rico;3252412;1252713;5938;38,516;0,183;0,474
Kiribati;131237;5085;24;3,875;0,018;0,472
Dominica;72758;15760;74;21,661;0,102;0,47
Germany;83369840;38437756;174979;46,105;0,21;0,455
Mayotte;326113;42027;187;12,887;0,057;0,445
France;67813000;38997490;167985;57,507;0,248;0,431
French Guiana;304568;98041;413;32,19;0,136;0,421
American Samoa;44295;8341;34;18,831;0,077;0,408
Liechtenstein;39355;21488;87;54,6;0,221;0,405
Monaco;36491;16975;67;46,518;0,184;0,395
New Caledonia;289959;80064;314;27,612;0,108;0,392
Kuwait;4268886;666284;2570;15,608;0,06;0,386
Norway;5434324;1488692;5667;27,394;0,104;0,381
